CloudletID,STATUS,DatacenterID,VMID,Time,Start Time,Finish Time
3,SUCCESS,3,3,1.01,0.2,1.21
1,SUCCESS,2,2,13.18,0.2,13.38
4,SUCCESS,2,2,0.11,13.38,13.49
2,SUCCESS,2,1,15.24,0.2,15.44
5,SUCCESS,2,1,0.11,15.44,15.55
6,SUCCESS,2,2,4.84,13.49,18.33
11,SUCCESS,2,1,25.4,15.55,40.95
10,SUCCESS,2,0,43.08,0.2,43.28
25,SUCCESS,2,1,6.52,40.95,47.47
29,SUCCESS,2,1,0.11,47.47,47.58
30,SUCCESS,2,1,0.11,47.58,47.69
36,SUCCESS,2,1,0.11,47.69,47.8
38,SUCCESS,2,1,0.11,47.8,47.91
39,SUCCESS,2,1,0.11,47.91,48.02
41,SUCCESS,2,1,0.11,48.02,48.13
47,SUCCESS,2,1,0.11,48.13,48.24
49,SUCCESS,2,1,0.11,48.24,48.35
50,SUCCESS,2,1,0.11,48.35,48.46
12,SUCCESS,2,0,11.17,43.28,54.45
13,SUCCESS,2,0,0.17,54.45,54.62
14,SUCCESS,2,0,0.18,54.62,54.8
20,SUCCESS,2,0,0.18,54.8,54.98
42,SUCCESS,2,0,0.16,54.98,55.14
51,SUCCESS,2,0,0.13,55.14,55.27
58,SUCCESS,2,1,7.45,48.46,55.91
62,SUCCESS,2,1,0.21,55.91,56.13
63,SUCCESS,2,1,0.22,56.13,56.35
64,SUCCESS,2,1,0.13,56.35,56.48
66,SUCCESS,2,1,0.21,56.48,56.69
67,SUCCESS,2,1,0.23,56.69,56.92
68,SUCCESS,2,1,0.2,56.92,57.12
72,SUCCESS,2,1,0.16,57.12,57.28
73,SUCCESS,2,1,0.18,57.28,57.45
74,SUCCESS,2,1,0.16,57.45,57.61
79,SUCCESS,2,1,0.19,57.61,57.8
80,SUCCESS,2,1,0.17,57.8,57.96
82,SUCCESS,2,1,0.16,57.96,58.13
86,SUCCESS,2,1,0.17,58.13,58.3
87,SUCCESS,2,1,0.18,58.3,58.48
90,SUCCESS,2,1,0.17,58.48,58.64
91,SUCCESS,2,1,0.18,58.64,58.82
94,SUCCESS,2,1,0.11,58.82,58.93
97,SUCCESS,2,1,0.17,58.93,59.11
98,SUCCESS,2,1,0.17,59.11,59.28
7,SUCCESS,3,3,69.2,1.21,70.41
9,SUCCESS,2,2,72.67,18.33,91
16,SUCCESS,2,2,0.11,91,91.11
17,SUCCESS,2,2,0.11,91.11,91.22
18,SUCCESS,2,2,0.11,91.22,91.33
19,SUCCESS,2,2,0.12,91.33,91.45
21,SUCCESS,2,2,11.31,91.45,102.75
23,SUCCESS,2,2,0.12,102.75,102.87
26,SUCCESS,2,2,5.35,102.87,108.22
27,SUCCESS,2,2,0.11,108.22,108.33
31,SUCCESS,2,2,0.11,108.33,108.44
32,SUCCESS,2,2,0.11,108.44,108.55
33,SUCCESS,2,2,0.11,108.55,108.66
34,SUCCESS,2,2,0.11,108.66,108.77
35,SUCCESS,2,2,0.11,108.77,108.88
37,SUCCESS,2,2,0.11,108.88,108.99
40,SUCCESS,2,2,0.11,108.99,109.1
44,SUCCESS,2,2,0.11,109.1,109.21
45,SUCCESS,2,2,0.11,109.21,109.32
54,SUCCESS,2,2,0.11,109.32,109.43
55,SUCCESS,2,2,0.11,109.43,109.54
59,SUCCESS,2,2,0.15,109.54,109.7
60,SUCCESS,2,2,0.14,109.7,109.84
61,SUCCESS,2,2,0.14,109.84,109.98
65,SUCCESS,2,2,0.11,109.98,110.09
69,SUCCESS,2,2,0.11,110.09,110.2
75,SUCCESS,2,2,0.13,110.2,110.33
76,SUCCESS,2,2,0.11,110.33,110.44
81,SUCCESS,2,2,0.12,110.44,110.56
88,SUCCESS,2,2,0.12,110.56,110.69
89,SUCCESS,2,2,0.12,110.69,110.81
92,SUCCESS,2,2,0.12,110.81,110.93
96,SUCCESS,2,2,0.13,110.93,111.05
99,SUCCESS,2,2,0.12,111.05,111.18
8,SUCCESS,3,3,66.78,70.41,137.19
15,SUCCESS,3,3,0.11,137.19,137.3
22,SUCCESS,3,3,0.11,137.3,137.41
24,SUCCESS,3,3,0.11,137.41,137.52
28,SUCCESS,3,3,0.11,137.52,137.63
43,SUCCESS,3,3,0.11,137.63,137.74
46,SUCCESS,3,3,0.11,137.74,137.85
48,SUCCESS,3,3,0.11,137.85,137.96
53,SUCCESS,3,3,68.58,137.96,206.54
71,SUCCESS,3,3,0.12,206.54,206.66
77,SUCCESS,3,3,0.13,206.66,206.79
84,SUCCESS,3,3,0.12,206.79,206.91
85,SUCCESS,3,3,0.11,206.91,207.02
93,SUCCESS,3,3,0.12,207.02,207.14
95,SUCCESS,3,3,0.13,207.14,207.27
52,SUCCESS,2,0,164.8,55.27,220.07
56,SUCCESS,2,0,0.74,220.07,220.81
57,SUCCESS,2,0,30.12,220.81,250.92
70,SUCCESS,2,0,0.33,250.92,251.25
78,SUCCESS,2,0,1.75,251.25,253
83,SUCCESS,2,0,0.36,253,253.36
100,SUCCESS,2,0,0.34,253.36,253.7
