CloudletID,STATUS,DatacenterID,VMID,Time,Start Time,Finish Time
2,SUCCESS,2,1,15.24,0.2,15.44
4,SUCCESS,2,2,15.24,0.2,15.44
3,SUCCESS,2,1,1.42,15.44,16.86
6,SUCCESS,2,1,6.78,16.86,23.64
1,SUCCESS,2,0,36.91,0.2,37.11
11,SUCCESS,2,1,25.4,23.64,49.04
13,SUCCESS,2,1,0.11,49.04,49.15
14,SUCCESS,2,1,0.11,49.15,49.26
39,SUCCESS,2,1,0.11,49.26,49.37
46,SUCCESS,2,1,0.11,49.37,49.48
49,SUCCESS,2,1,0.11,49.48,49.59
80,SUCCESS,2,1,0.17,49.59,49.76
81,SUCCESS,2,1,0.17,49.76,49.93
91,SUCCESS,2,1,0.18,49.93,50.11
96,SUCCESS,2,1,0.18,50.11,50.29
98,SUCCESS,2,1,0.17,50.29,50.46
105,SUCCESS,2,1,0.18,50.46,50.64
107,SUCCESS,2,1,0.16,50.64,50.8
115,SUCCESS,2,1,0.17,50.8,50.97
123,SUCCESS,2,1,0.17,50.97,51.15
136,SUCCESS,2,1,0.16,51.15,51.31
138,SUCCESS,2,1,0.16,51.31,51.47
163,SUCCESS,2,1,0.14,51.47,51.6
166,SUCCESS,2,1,0.16,51.6,51.76
167,SUCCESS,2,1,0.17,51.76,51.93
174,SUCCESS,2,1,0.16,51.93,52.09
195,SUCCESS,2,1,0.17,52.09,52.26
198,SUCCESS,2,1,0.16,52.26,52.42
205,SUCCESS,2,1,0.17,52.42,52.59
227,SUCCESS,2,1,0.17,52.59,52.76
231,SUCCESS,2,1,0.17,52.76,52.93
251,SUCCESS,2,1,0.17,52.93,53.1
260,SUCCESS,2,1,0.16,53.1,53.26
271,SUCCESS,2,1,0.18,53.26,53.44
287,SUCCESS,2,1,0.17,53.44,53.61
288,SUCCESS,2,1,0.16,53.61,53.76
289,SUCCESS,2,1,0.17,53.76,53.93
292,SUCCESS,2,1,0.16,53.93,54.09
320,SUCCESS,2,1,0.16,54.09,54.25
324,SUCCESS,2,1,0.16,54.25,54.42
342,SUCCESS,2,1,0.16,54.42,54.58
343,SUCCESS,2,1,0.17,54.58,54.75
348,SUCCESS,2,1,0.16,54.75,54.92
355,SUCCESS,2,1,0.18,54.92,55.09
362,SUCCESS,2,1,0.16,55.09,55.26
368,SUCCESS,2,1,0.17,55.26,55.43
371,SUCCESS,2,1,0.19,55.43,55.62
375,SUCCESS,2,1,0.19,55.62,55.81
381,SUCCESS,2,1,0.18,55.81,55.99
384,SUCCESS,2,1,0.17,55.99,56.17
390,SUCCESS,2,1,0.19,56.17,56.35
394,SUCCESS,2,1,0.19,56.35,56.55
397,SUCCESS,2,1,0.16,56.55,56.71
405,SUCCESS,2,1,0.16,56.71,56.86
407,SUCCESS,2,1,0.16,56.86,57.02
408,SUCCESS,2,1,0.18,57.02,57.2
414,SUCCESS,2,1,0.17,57.2,57.37
418,SUCCESS,2,1,0.19,57.37,57.56
426,SUCCESS,2,1,0.17,57.56,57.73
435,SUCCESS,2,1,0.17,57.73,57.9
444,SUCCESS,2,1,0.18,57.9,58.08
456,SUCCESS,2,1,0.17,58.08,58.24
465,SUCCESS,2,1,0.16,58.24,58.41
466,SUCCESS,2,1,0.17,58.41,58.58
482,SUCCESS,2,1,0.18,58.58,58.75
484,SUCCESS,2,1,0.17,58.75,58.93
490,SUCCESS,2,1,0.16,58.93,59.08
500,SUCCESS,2,1,0.16,59.08,59.24
8,SUCCESS,3,3,66.78,0.2,66.98
5,SUCCESS,3,4,66.78,0.2,66.98
16,SUCCESS,3,3,0.11,66.98,67.09
24,SUCCESS,3,3,0.11,67.09,67.2
29,SUCCESS,3,3,0.11,67.2,67.31
36,SUCCESS,3,3,0.11,67.31,67.42
43,SUCCESS,3,3,0.11,67.42,67.53
44,SUCCESS,3,3,0.11,67.53,67.64
55,SUCCESS,3,3,0.11,67.64,67.75
56,SUCCESS,3,3,0.26,67.75,68.01
67,SUCCESS,3,3,0.16,68.01,68.17
73,SUCCESS,3,3,0.13,68.17,68.3
77,SUCCESS,3,3,0.13,68.3,68.43
85,SUCCESS,3,3,0.11,68.43,68.54
90,SUCCESS,3,3,0.12,68.54,68.65
122,SUCCESS,3,3,0.12,68.65,68.77
128,SUCCESS,3,3,0.12,68.77,68.89
130,SUCCESS,3,3,0.12,68.89,69
132,SUCCESS,3,3,0.12,69,69.12
147,SUCCESS,3,3,0.12,69.12,69.24
148,SUCCESS,3,3,0.11,69.24,69.35
180,SUCCESS,3,3,0.11,69.35,69.47
183,SUCCESS,3,3,0.14,69.47,69.6
194,SUCCESS,3,3,0.11,69.6,69.72
203,SUCCESS,3,3,0.12,69.72,69.84
207,SUCCESS,3,3,0.12,69.84,69.96
221,SUCCESS,3,3,0.12,69.96,70.08
230,SUCCESS,3,3,0.11,70.08,70.19
237,SUCCESS,3,3,0.12,70.19,70.32
249,SUCCESS,3,3,0.12,70.32,70.44
