CloudletID,STATUS,DatacenterID,VMID,Time,Start Time,Finish Time
1,SUCCESS,4,6,0.29,0.5,0.79
29,SUCCESS,5,8,0.29,0.5,0.79
26,SUCCESS,2,2,0.57,0.5,1.07
2,SUCCESS,5,7,0.57,0.5,1.07
45,SUCCESS,2,0,0.8,0.5,1.3
14,SUCCESS,2,1,0.8,0.5,1.3
6,SUCCESS,4,6,0.57,0.79,1.36
30,SUCCESS,5,8,0.57,0.79,1.36
10,SUCCESS,4,6,0.57,1.36,1.93
201,SUCCESS,2,0,0.8,1.3,2.1
310,SUCCESS,2,0,1.6,2.1,3.7
341,SUCCESS,2,0,0.8,3.7,4.5
3,SUCCESS,3,3,4.29,0.5,4.79
51,SUCCESS,2,2,4.29,1.07,5.36
7,SUCCESS,5,7,4.29,1.07,5.36
21,SUCCESS,5,7,0.29,5.36,5.64
35,SUCCESS,5,8,4.29,1.36,5.64
54,SUCCESS,2,2,0.57,5.36,5.93
25,SUCCESS,5,7,0.29,5.64,5.93
24,SUCCESS,3,4,5.71,0.5,6.21
0,SUCCESS,4,5,5.71,0.5,6.21
15,SUCCESS,4,6,4.29,1.93,6.21
8,SUCCESS,6,9,5.71,0.5,6.21
17,SUCCESS,4,6,0.29,6.21,6.5
50,SUCCESS,5,7,0.57,5.93,6.5
9,SUCCESS,6,9,0.29,6.21,6.5
27,SUCCESS,3,3,4.29,4.79,9.07
20,SUCCESS,2,1,8,1.3,9.3
41,SUCCESS,2,1,0.4,9.3,9.7
55,SUCCESS,2,2,4.29,5.93,10.21
65,SUCCESS,2,2,0.29,10.21,10.5
19,SUCCESS,4,6,4.29,6.5,10.79
22,SUCCESS,4,6,0.57,10.79,11.36
36,SUCCESS,5,8,5.71,5.64,11.36
53,SUCCESS,4,6,0.29,11.36,11.64
37,SUCCESS,5,8,0.29,11.36,11.64
44,SUCCESS,3,4,5.71,6.21,11.93
4,SUCCESS,4,5,5.71,6.21,11.93
49,SUCCESS,5,8,0.29,11.64,11.93
61,SUCCESS,3,4,0.29,11.93,12.21
5,SUCCESS,4,5,0.29,11.93,12.21
58,SUCCESS,4,6,0.57,11.64,12.21
12,SUCCESS,6,9,5.71,6.5,12.21
68,SUCCESS,5,7,5.71,6.5,12.21
57,SUCCESS,5,8,0.29,11.93,12.21
77,SUCCESS,3,4,0.29,12.21,12.5
13,SUCCESS,6,9,0.29,12.21,12.5
81,SUCCESS,5,7,0.29,12.21,12.5
70,SUCCESS,4,6,0.57,12.21,12.79
28,SUCCESS,3,3,5.71,9.07,14.79
33,SUCCESS,3,3,0.29,14.79,15.07
46,SUCCESS,3,3,0.57,15.07,15.64
71,SUCCESS,2,1,6,9.7,15.7
80,SUCCESS,2,2,5.71,10.5,16.21
85,SUCCESS,2,2,0.29,16.21,16.5
11,SUCCESS,4,5,4.29,12.21,16.5
79,SUCCESS,3,4,4.29,12.5,16.79
83,SUCCESS,5,7,4.29,12.5,16.79
38,SUCCESS,4,5,0.57,16.5,17.07
75,SUCCESS,4,6,4.29,12.79,17.07
64,SUCCESS,5,8,5.71,12.21,17.93
16,SUCCESS,6,9,5.71,12.5,18.21
18,SUCCESS,6,9,0.57,18.21,18.79
59,SUCCESS,3,3,4.29,15.64,19.93
364,SUCCESS,2,0,16,4.5,20.5
87,SUCCESS,2,2,4.29,16.5,20.78
91,SUCCESS,3,4,4.29,16.79,21.07
95,SUCCESS,5,7,4.29,16.79,21.07
90,SUCCESS,2,2,0.57,20.78,21.36
39,SUCCESS,4,5,4.29,17.07,21.36
102,SUCCESS,3,4,0.57,21.07,21.64
126,SUCCESS,2,2,0.57,21.36,21.93
42,SUCCESS,4,5,0.57,21.36,21.93
67,SUCCESS,5,8,4.29,17.93,22.21
73,SUCCESS,5,8,0.29,22.21,22.5
76,SUCCESS,4,6,5.71,17.07,22.79
23,SUCCESS,6,9,4.29,18.79,23.07
92,SUCCESS,2,1,8,15.7,23.7
113,SUCCESS,2,1,0.4,23.7,24.1
88,SUCCESS,3,3,5.71,19.93,25.64
89,SUCCESS,3,3,0.29,25.64,25.93
103,SUCCESS,3,4,4.29,21.64,25.93
105,SUCCESS,3,4,0.29,25.93,26.21
47,SUCCESS,4,5,4.29,21.93,26.21
120,SUCCESS,5,7,5.71,21.07,26.79
121,SUCCESS,5,7,0.29,26.79,27.07
31,SUCCESS,6,9,4.29,23.07,27.36
132,SUCCESS,2,2,5.71,21.93,27.64
141,SUCCESS,2,2,0.29,27.64,27.93
96,SUCCESS,5,8,5.71,22.5,28.21
142,SUCCESS,2,2,0.57,27.93,28.5
97,SUCCESS,5,8,0.29,28.21,28.5
84,SUCCESS,4,6,5.71,22.79,28.5
147,SUCCESS,2,1,6,24.1,30.1
107,SUCCESS,3,3,4.29,25.93,30.21
123,SUCCESS,3,4,4.29,26.21,30.5
130,SUCCESS,3,4,0.57,30.5,31.07
127,SUCCESS,5,7,4.29,27.07,31.36
137,SUCCESS,3,4,0.29,31.07,31.36
48,SUCCESS,4,5,5.71,26.21,31.93
150,SUCCESS,5,7,0.57,31.36,31.93
154,SUCCESS,5,7,0.57,31.93,32.5
170,SUCCESS,5,7,0.57,32.5,33.07
32,SUCCESS,6,9,5.71,27.36,33.07
173,SUCCESS,5,7,0.29,33.07,33.36
34,SUCCESS,6,9,0.57,33.07,33.64
178,SUCCESS,5,7,0.57,33.36,33.93
144,SUCCESS,2,2,5.71,28.5,34.21
100,SUCCESS,5,8,5.71,28.5,34.21
128,SUCCESS,4,6,5.71,28.5,34.21
131,SUCCESS,3,3,4.29,30.21,34.5
129,SUCCESS,4,6,0.29,34.21,34.5
133,SUCCESS,4,6,0.29,34.5,34.79
146,SUCCESS,3,3,0.57,34.5,35.07
149,SUCCESS,3,3,0.29,35.07,35.36
161,SUCCESS,3,3,0.29,35.36,35.64
139,SUCCESS,3,4,4.29,31.36,35.64
145,SUCCESS,3,4,0.29,35.64,35.93
52,SUCCESS,4,5,5.71,31.93,37.64
180,SUCCESS,2,1,8,30.1,38.1
183,SUCCESS,5,7,4.29,33.93,38.21
151,SUCCESS,2,2,4.29,34.21,38.5
153,SUCCESS,2,2,0.29,38.5,38.78
182,SUCCESS,2,1,0.8,38.1,38.9
169,SUCCESS,2,2,0.28,38.78,39.07
163,SUCCESS,4,6,4.29,34.79,39.07
205,SUCCESS,2,1,0.4,38.9,39.29
40,SUCCESS,6,9,5.71,33.64,39.36
189,SUCCESS,2,2,0.34,39.07,39.4
193,SUCCESS,2,2,0.29,39.4,39.69
241,SUCCESS,2,1,0.51,39.29,39.8
175,SUCCESS,3,3,4.29,35.64,39.93
104,SUCCESS,5,8,5.71,34.21,39.93
194,SUCCESS,2,2,0.57,39.69,40.26
106,SUCCESS,5,8,0.57,39.93,40.5
197,SUCCESS,2,2,0.29,40.26,40.55
152,SUCCESS,3,4,5.71,35.93,41.64
56,SUCCESS,4,5,5.71,37.64,43.36
167,SUCCESS,4,6,4.29,39.07,43.36
209,SUCCESS,4,6,0.29,43.36,43.64
43,SUCCESS,6,9,4.29,39.36,43.64
74,SUCCESS,4,5,0.57,43.36,43.93
196,SUCCESS,5,7,5.71,38.21,43.93
