CloudletID,STATUS,DatacenterID,VMID,Time,Start Time,Finish Time
3,SUCCESS,3,3,1.01,0.5,1.51
1,SUCCESS,2,2,13.18,0.5,13.68
4,SUCCESS,2,2,0.11,13.68,13.79
2,SUCCESS,2,1,15.24,0.5,15.74
5,SUCCESS,2,1,0.11,15.74,15.85
6,SUCCESS,2,2,4.84,13.79,18.63
11,SUCCESS,2,1,25.4,15.85,41.25
10,SUCCESS,2,0,43.08,0.5,43.58
25,SUCCESS,2,1,6.52,41.25,47.77
29,SUCCESS,2,1,0.11,47.77,47.88
30,SUCCESS,2,1,0.11,47.88,47.99
36,SUCCESS,2,1,0.11,47.99,48.1
38,SUCCESS,2,1,0.11,48.1,48.21
39,SUCCESS,2,1,0.11,48.21,48.32
41,SUCCESS,2,1,0.11,48.32,48.43
47,SUCCESS,2,1,0.11,48.43,48.54
49,SUCCESS,2,1,0.11,48.54,48.65
50,SUCCESS,2,1,0.11,48.65,48.76
12,SUCCESS,2,0,11.17,43.58,54.75
13,SUCCESS,2,0,0.17,54.75,54.92
14,SUCCESS,2,0,0.18,54.92,55.1
20,SUCCESS,2,0,0.18,55.1,55.28
42,SUCCESS,2,0,0.16,55.28,55.44
51,SUCCESS,2,0,0.13,55.44,55.57
58,SUCCESS,2,1,7.45,48.76,56.21
62,SUCCESS,2,1,0.21,56.21,56.43
63,SUCCESS,2,1,0.22,56.43,56.65
64,SUCCESS,2,1,0.13,56.65,56.78
66,SUCCESS,2,1,0.21,56.78,56.99
67,SUCCESS,2,1,0.23,56.99,57.22
68,SUCCESS,2,1,0.2,57.22,57.42
72,SUCCESS,2,1,0.16,57.42,57.58
73,SUCCESS,2,1,0.18,57.58,57.75
74,SUCCESS,2,1,0.16,57.75,57.91
79,SUCCESS,2,1,0.19,57.91,58.1
80,SUCCESS,2,1,0.17,58.1,58.26
82,SUCCESS,2,1,0.16,58.26,58.43
86,SUCCESS,2,1,0.17,58.43,58.6
87,SUCCESS,2,1,0.18,58.6,58.78
90,SUCCESS,2,1,0.17,58.78,58.94
91,SUCCESS,2,1,0.18,58.94,59.12
94,SUCCESS,2,1,0.11,59.12,59.23
97,SUCCESS,2,1,0.17,59.23,59.41
98,SUCCESS,2,1,0.17,59.41,59.58
7,SUCCESS,3,3,69.2,1.51,70.71
9,SUCCESS,2,2,72.67,18.63,91.3
16,SUCCESS,2,2,0.11,91.3,91.41
17,SUCCESS,2,2,0.11,91.41,91.52
18,SUCCESS,2,2,0.11,91.52,91.63
19,SUCCESS,2,2,0.12,91.63,91.75
21,SUCCESS,2,2,11.31,91.75,103.05
23,SUCCESS,2,2,0.12,103.05,103.17
26,SUCCESS,2,2,5.35,103.17,108.52
27,SUCCESS,2,2,0.11,108.52,108.63
31,SUCCESS,2,2,0.11,108.63,108.74
32,SUCCESS,2,2,0.11,108.74,108.85
33,SUCCESS,2,2,0.11,108.85,108.96
34,SUCCESS,2,2,0.11,108.96,109.07
35,SUCCESS,2,2,0.11,109.07,109.18
37,SUCCESS,2,2,0.11,109.18,109.29
40,SUCCESS,2,2,0.11,109.29,109.4
44,SUCCESS,2,2,0.11,109.4,109.51
45,SUCCESS,2,2,0.11,109.51,109.62
54,SUCCESS,2,2,0.11,109.62,109.73
55,SUCCESS,2,2,0.11,109.73,109.84
59,SUCCESS,2,2,0.15,109.84,110
60,SUCCESS,2,2,0.14,110,110.14
61,SUCCESS,2,2,0.14,110.14,110.28
65,SUCCESS,2,2,0.11,110.28,110.39
69,SUCCESS,2,2,0.11,110.39,110.5
75,SUCCESS,2,2,0.13,110.5,110.63
76,SUCCESS,2,2,0.11,110.63,110.74
81,SUCCESS,2,2,0.12,110.74,110.86
88,SUCCESS,2,2,0.12,110.86,110.99
89,SUCCESS,2,2,0.12,110.99,111.11
92,SUCCESS,2,2,0.12,111.11,111.23
96,SUCCESS,2,2,0.13,111.23,111.35
99,SUCCESS,2,2,0.12,111.35,111.48
8,SUCCESS,3,3,66.78,70.71,137.49
15,SUCCESS,3,3,0.11,137.49,137.6
22,SUCCESS,3,3,0.11,137.6,137.71
24,SUCCESS,3,3,0.11,137.71,137.82
28,SUCCESS,3,3,0.11,137.82,137.93
43,SUCCESS,3,3,0.11,137.93,138.04
46,SUCCESS,3,3,0.11,138.04,138.15
48,SUCCESS,3,3,0.11,138.15,138.26
53,SUCCESS,3,3,68.58,138.26,206.84
71,SUCCESS,3,3,0.12,206.84,206.96
77,SUCCESS,3,3,0.13,206.96,207.09
84,SUCCESS,3,3,0.12,207.09,207.21
85,SUCCESS,3,3,0.11,207.21,207.32
93,SUCCESS,3,3,0.12,207.32,207.44
95,SUCCESS,3,3,0.13,207.44,207.57
52,SUCCESS,2,0,164.8,55.57,220.37
56,SUCCESS,2,0,0.74,220.37,221.11
57,SUCCESS,2,0,30.12,221.11,251.22
70,SUCCESS,2,0,0.33,251.22,251.55
78,SUCCESS,2,0,1.75,251.55,253.3
83,SUCCESS,2,0,0.36,253.3,253.66
100,SUCCESS,2,0,0.34,253.66,254
