CloudletID,STATUS,DatacenterID,VMID,Time,Start Time,Finish Time
3,SUCCESS,3,3,1.01,0.2,1.21
1,SUCCESS,2,2,13.18,0.2,13.38
4,SUCCESS,2,2,0.11,13.38,13.49
2,SUCCESS,2,1,15.24,0.2,15.44
5,SUCCESS,2,1,0.11,15.44,15.55
6,SUCCESS,2,2,4.84,13.49,18.33
11,SUCCESS,2,1,25.4,15.55,40.95
10,SUCCESS,2,0,43.08,0.2,43.28
25,SUCCESS,2,1,6.52,40.95,47.47
29,SUCCESS,2,1,0.11,47.47,47.58
30,SUCCESS,2,1,0.11,47.58,47.69
36,SUCCESS,2,1,0.11,47.69,47.8
38,SUCCESS,2,1,0.11,47.8,47.91
39,SUCCESS,2,1,0.11,47.91,48.02
41,SUCCESS,2,1,0.11,48.02,48.13
47,SUCCESS,2,1,0.11,48.13,48.24
49,SUCCESS,2,1,0.11,48.24,48.35
50,SUCCESS,2,1,0.11,48.35,48.46
12,SUCCESS,2,0,11.17,43.28,54.45
13,SUCCESS,2,0,0.17,54.45,54.62
14,SUCCESS,2,0,0.18,54.62,54.8
20,SUCCESS,2,0,0.18,54.8,54.98
42,SUCCESS,2,0,0.16,54.98,55.14
51,SUCCESS,2,0,0.13,55.14,55.27
58,SUCCESS,2,1,7.45,48.46,55.91
62,SUCCESS,2,1,0.21,55.91,56.13
63,SUCCESS,2,1,0.22,56.13,56.35
64,SUCCESS,2,1,0.13,56.35,56.48
66,SUCCESS,2,1,0.21,56.48,56.69
67,SUCCESS,2,1,0.23,56.69,56.92
68,SUCCESS,2,1,0.2,56.92,57.12
72,SUCCESS,2,1,0.16,57.12,57.28
73,SUCCESS,2,1,0.18,57.28,57.45
74,SUCCESS,2,1,0.16,57.45,57.61
79,SUCCESS,2,1,0.19,57.61,57.8
80,SUCCESS,2,1,0.17,57.8,57.96
82,SUCCESS,2,1,0.16,57.96,58.13
86,SUCCESS,2,1,0.17,58.13,58.3
87,SUCCESS,2,1,0.18,58.3,58.48
90,SUCCESS,2,1,0.17,58.48,58.64
91,SUCCESS,2,1,0.18,58.64,58.82
94,SUCCESS,2,1,0.11,58.82,58.93
97,SUCCESS,2,1,0.17,58.93,59.11
98,SUCCESS,2,1,0.17,59.11,59.28
106,SUCCESS,2,1,0.14,59.28,59.42
110,SUCCESS,2,1,0.16,59.42,59.58
111,SUCCESS,2,1,0.17,59.58,59.75
7,SUCCESS,3,3,69.2,1.21,70.41
9,SUCCESS,2,2,72.67,18.33,91
16,SUCCESS,2,2,0.11,91,91.11
17,SUCCESS,2,2,0.11,91.11,91.22
18,SUCCESS,2,2,0.11,91.22,91.33
19,SUCCESS,2,2,0.12,91.33,91.45
21,SUCCESS,2,2,11.31,91.45,102.75
23,SUCCESS,2,2,0.12,102.75,102.87
26,SUCCESS,2,2,5.35,102.87,108.22
27,SUCCESS,2,2,0.11,108.22,108.33
31,SUCCESS,2,2,0.11,108.33,108.44
32,SUCCESS,2,2,0.11,108.44,108.55
33,SUCCESS,2,2,0.11,108.55,108.66
34,SUCCESS,2,2,0.11,108.66,108.77
35,SUCCESS,2,2,0.11,108.77,108.88
