CloudletID,STATUS,DatacenterID,VMID,Time,Start Time,Finish Time
3,SUCCESS,3,4,1.01,0.2,1.21
5,SUCCESS,3,4,0.11,1.21,1.32
6,SUCCESS,3,3,4.84,0.2,5.04
2,SUCCESS,2,2,10.89,0.2,11.09
18,SUCCESS,2,2,0.11,11.09,11.2
24,SUCCESS,2,2,0.11,11.2,11.31
39,SUCCESS,2,2,0.11,11.31,11.42
51,SUCCESS,2,2,0.11,11.42,11.53
61,SUCCESS,2,2,0.14,11.53,11.67
72,SUCCESS,2,2,0.11,11.67,11.78
86,SUCCESS,2,2,0.12,11.78,11.91
88,SUCCESS,2,2,0.12,11.91,12.03
95,SUCCESS,2,2,0.13,12.03,12.16
119,SUCCESS,2,2,0.12,12.16,12.28
130,SUCCESS,2,2,0.12,12.28,12.39
142,SUCCESS,2,2,0.11,12.39,12.51
149,SUCCESS,2,2,0.12,12.51,12.63
163,SUCCESS,2,2,0.11,12.63,12.74
171,SUCCESS,2,2,0.12,12.74,12.86
177,SUCCESS,2,2,0.12,12.86,12.98
10,SUCCESS,3,4,15.39,1.32,16.71
1,SUCCESS,2,1,18.45,0.2,18.65
4,SUCCESS,2,1,0.11,18.65,18.76
12,SUCCESS,3,4,3.99,16.71,20.7
13,SUCCESS,3,4,0.11,20.7,20.81
20,SUCCESS,3,4,0.11,20.81,20.92
23,SUCCESS,3,4,0.12,20.92,21.04
26,SUCCESS,3,4,5.35,21.04,26.39
27,SUCCESS,3,4,0.11,26.39,26.5
28,SUCCESS,3,4,0.11,26.5,26.61
30,SUCCESS,3,4,0.11,26.61,26.72
31,SUCCESS,3,4,0.11,26.72,26.83
32,SUCCESS,3,4,0.11,26.83,26.94
36,SUCCESS,3,4,0.11,26.94,27.05
37,SUCCESS,3,4,0.11,27.05,27.16
38,SUCCESS,3,4,0.11,27.16,27.27
40,SUCCESS,3,4,0.11,27.27,27.38
43,SUCCESS,3,4,0.11,27.38,27.49
47,SUCCESS,3,4,0.11,27.49,27.6
48,SUCCESS,3,4,0.11,27.6,27.71
50,SUCCESS,3,4,0.11,27.71,27.82
11,SUCCESS,2,0,50.8,0.2,51
14,SUCCESS,2,0,0.18,51,51.18
15,SUCCESS,2,0,0.17,51.18,51.35
19,SUCCESS,2,0,0.34,51.35,51.69
29,SUCCESS,2,0,0.11,51.69,51.8
